87212373,     523,     249,     656
87250915,     214,      89,    1260
87289456,     276,      39,    1194
87327998,      30,     -51,    1507
87366540,      33,     -65,     890
87405081,     248,    -136,    1194
87443623,      59,    -165,    1579
87482165,     -65,    -196,    1608
87520706,      74,     -80,    1109
87559248,      63,    -110,    1119
87597790,      72,    -105,    1133
87636331,      -2,    -102,    1144
87674873,      17,     -92,    1107
87713415,      41,     -61,    1008
87751956,     121,     -32,     898
87790498,       0,     -18,     888
87829040,      11,     -30,    1032
87867581,      19,     -25,    1009
87906123,      16,      -9,     956
87944665,      23,      -7,     997
87983206,     -45,     -10,     974
88021748,      10,      -9,     995
88060290,      16,       0,     980
88098831,     -27,       6,    1008
88137373,      16,       4,    1007
88175915,      -6,       7,     974
88214456,      -4,      11,    1034
88252998,       2,      16,     949
88291540,      -4,      19,     960
88330081,      -2,      13,    1002
88368623,      11,       3,     950
88407165,     -18,       0,     983
88445706,     -14,      -5,    1040
88484248,     -37,      -3,    1004
88522790,     -27,      -2,    1005
88561331,     -12,       0,     956
88599873,     -46,      -9,     937
88638415,      -9,      -3,    1012
88676956,       5,       0,    1016
88715498,       1,       0,     973
88754040,       5,       5,     973
88792581,     -12,      -3,    1016
88831123,     -39,      -3,     995
88869665,      -6,      -2,    1011
88908206,     -97,      -7,    1017
88946748,     -12,      -6,    1005
88985290,      73,       3,    1009
89023831,      12,       6,    1046
89062373,      46,      -5,    1351
89100915,    -135,     -18,    1345
89139456,     -85,     -65,    1303
89177998,    -165,     -76,    1523
89216540,     -28,     -53,    1623
89255081,     162,      26,    1497
89293623,     287,      35,    1512
89332165,     288,      10,    1454
89370706,     670,      63,     935
89409248,     243,     151,     665
89447790,     425,     212,     818
89486331,     280,     357,     196
89524873,     153,     461,    -177
89563415,      93,     628,    -272
89601956,    -316,     691,    -115
89640498,     -85,     782,    -383
89679040,     -38,     820,    -414
89717581,       4,     872,    -580
89756123,      32,     938,    -337
89794665,     -34,     993,    -355
89833206,     105,    1044,    -142
89871748,      39,    1043,    -117
89910290,      87,    1037,     -80
89948831,      12,    1043,     120
89987373,     -41,     983,       0
90025915,     -18,     973,     -34
90064456,      27,     983,      51
90102998,     -14,     999,     154
90141540,      12,     999,      99
90180081,      18,     999,      92
90218623,      29,    1004,      85
90257165,      49,     996,      55
90295706,       6,     999,      94
90334248,      65,    1011,      51
90372790,      23,    1018,      52
90411331,      38,    1019,      89
90449873,      77,    1014,      39
90488415,      67,    1034,      61
90526956,      66,    1025,      45
90565498,      57,    1018,      78
90604040,       9,    1000,      96
90642581,      15,     994,      20
90681123,      27,     995,      -7
90719665,      28,     994,      72
90758206,      69,    1017,      95
90796748,      53,    1017,      77
90835290,      75,    1012,      -4
90873831,      58,    1017,      77
90912373,      54,    1020,      48
90950915,      32,    1019,      86
90989456,      44,    1006,      75
91027998,      27,     993,      30
91066540,      28,     995,     -16
91105081,      28,     986,      24
91143623,      12,     988,      33
91182165,       3,     989,       8
91220706,      26,     995,      24
91259248,      55,    1013,      74
91297790,      22,    1017,      37
91336331,      46,    1026,      61
91374873,      77,    1028,      58
91413415,      31,    1025,      30
91451956,      54,    1020,      33
91490498,      41,    1014,      12
91529040,      44,    1005,      28
91567581,      40,    1006,      21
91606123,      22,    1001,      33
91644665,      24,    1001,      32
